,open,high,low,close
2006-01-24,0.6881,0.6892,0.6864,0.688
2006-01-25,0.6878,0.6889,0.685,0.6861
2006-01-26,0.6861,0.6868,0.6846,0.6854
2006-01-27,0.6856,0.6865,0.6831,0.6845
2006-01-30,0.6843,0.6856,0.6827,0.6834
2006-01-31,0.6832,0.685,0.6813,0.683
2006-02-01,0.683,0.6836,0.6789,0.6797
2006-02-02,0.6798,0.6805,0.6783,0.6789
2006-02-03,0.6789,0.6824,0.6784,0.6823
2006-02-06,0.6826,0.6855,0.6818,0.6845
2006-02-07,0.6844,0.6869,0.6839,0.6866
2006-02-08,0.6866,0.6876,0.6852,0.6867
2006-02-09,0.6867,0.6886,0.6841,0.6877
2006-02-10,0.6876,0.6882,0.6816,0.6824
2006-02-13,0.6821,0.6844,0.6817,0.6831
2006-02-14,0.6831,0.687,0.6826,0.6861
2006-02-15,0.6862,0.6871,0.682,0.6827
2006-02-16,0.6827,0.6857,0.6823,0.6842
2006-02-17,0.685,0.6856,0.6832,0.6851
2006-02-20,0.6849,0.6862,0.6838,0.6845
2006-02-21,0.6844,0.6848,0.6811,0.6823
2006-02-22,0.6822,0.6834,0.6787,0.6805
2006-02-23,0.6807,0.6834,0.6797,0.6805
2006-02-24,0.6805,0.6814,0.6793,0.6804
2006-02-27,0.6805,0.6818,0.6789,0.6807
2006-02-28,0.6806,0.682,0.6787,0.6795
2006-03-01,0.6796,0.6814,0.6791,0.681
2006-03-02,0.6807,0.6866,0.6806,0.686
2006-03-03,0.6862,0.6866,0.684,0.6859
2006-03-06,0.6856,0.6875,0.6844,0.6866
2006-03-07,0.6866,0.6869,0.6837,0.6845
2006-03-08,0.6845,0.6873,0.6839,0.6858
2006-03-09,0.6857,0.6876,0.6848,0.686
2006-03-10,0.6861,0.6903,0.6848,0.6899
2006-03-13,0.6899,0.6926,0.689,0.6897
2006-03-14,0.6901,0.6906,0.6873,0.6876
2006-03-15,0.6877,0.6908,0.6875,0.6904
2006-03-16,0.6904,0.6933,0.6894,0.6929
2006-03-17,0.6931,0.6949,0.6923,0.6938
2006-03-20,0.6933,0.6943,0.6916,0.6924
2006-03-21,0.6923,0.6949,0.6914,0.6918
2006-03-22,0.6917,0.6927,0.6899,0.691
2006-03-23,0.691,0.6927,0.6891,0.69
2006-03-24,0.6897,0.6913,0.6889,0.6903
2006-03-27,0.6906,0.6909,0.6867,0.6878
2006-03-28,0.6877,0.6909,0.6868,0.6883
2006-03-29,0.6885,0.6937,0.6879,0.6934
