,open,high,low,close
2015-03-24,1.48359,1.49544,1.48359,1.48339
2015-03-25,1.48774,1.49925,1.48148,1.48774
2015-03-26,1.48568,1.49232,1.47995,1.48584
2015-03-29,1.48852,1.48852,1.47623,1.48858
2015-03-30,1.48102,1.48677,1.4758,1.48091
2015-03-31,1.48339,1.4873,1.47471,1.48295
2015-04-01,1.4835,1.48699,1.47818,1.48368
2015-04-02,1.48297,1.49459,1.48126,1.48306
2015-04-05,1.49227,1.49817,1.49029,1.49307
2015-04-06,1.48896,1.49191,1.48324,1.48907
2015-04-07,1.48221,1.49701,1.48221,1.48238
2015-04-08,1.48772,1.4886,1.47297,1.48785
2015-04-09,1.47174,1.4726,1.459,1.4715
2015-04-12,1.46409,1.46735,1.45737,1.46406
2015-04-13,1.46714,1.48039,1.46071,1.46679
2015-04-14,1.47728,1.48082,1.47059,1.47719
2015-04-15,1.48291,1.49388,1.48148,1.48284
2015-04-16,1.49309,1.5053,1.49187,1.49218
2015-04-19,1.49651,1.49837,1.48931,1.49683
2015-04-20,1.49109,1.49544,1.48588,1.49098
2015-04-21,1.49309,1.50807,1.49171,1.49356
2015-04-22,1.5034,1.50591,1.49656,1.50376
2015-04-23,1.5051,1.51837,1.50299,1.50521
2015-04-26,1.51752,1.52393,1.51103,1.51766
2015-04-27,1.52251,1.53374,1.51837,1.52237
2015-04-28,1.53339,1.54871,1.5329,1.53348
2015-04-29,1.54257,1.54943,1.53257,1.54269
2015-04-30,1.53558,1.53965,1.51261,1.53546
2015-05-03,1.51561,1.51768,1.50918,1.51467
2015-05-04,1.51222,1.52091,1.50943,1.51229
2015-05-05,1.51704,1.52905,1.51561,1.51743
2015-05-06,1.52395,1.5253,1.51683,1.5242
2015-05-07,1.53969,1.55219,1.53579,1.54071
2015-05-10,1.5439,1.55958,1.53988,1.5434
2015-05-11,1.55795,1.57085,1.55601,1.5577
2015-05-12,1.56681,1.57622,1.56355,1.5671
2015-05-13,1.57381,1.5813,1.57309,1.57401
2015-05-14,1.57734,1.58078,1.5705,1.57721
2015-05-17,1.57391,1.57391,1.56548,1.57461
2015-05-18,1.56639,1.56715,1.5456,1.56637
2015-05-19,1.55159,1.55909,1.5477,1.55161
2015-05-20,1.55427,1.57011,1.55275,1.55429
2015-05-21,1.5661,1.56912,1.54871,1.56639
2015-05-24,1.54775,1.55087,1.54591,1.54751
2015-05-25,1.5472,1.5472,1.53567,1.54722
2015-05-26,1.5396,1.54369,1.53076,1.53986
2015-05-27,1.5349,1.5387,1.52648,1.53501
2015-05-28,1.53191,1.53431,1.52416,1.53191
2015-05-31,1.52879,1.5306,1.51745,1.52889
2015-06-01,1.51978,1.53421,1.51835,1.51999
2015-06-02,1.53351,1.53751,1.52555,1.53398
2015-06-03,1.53268,1.54416,1.53069,1.53266
2015-06-04,1.53624,1.53695,1.52022,1.5365
2015-06-07,1.52653,1.5306,1.5223,1.52679
2015-06-08,1.53449,1.53891,1.52602,1.53459
2015-06-09,1.53872,1.55545,1.53711,1.53941
2015-06-10,1.55,1.55207,1.54321,1.54969
2015-06-11,1.55181,1.55982,1.54684,1.55089
2015-06-14,1.55611,1.55666,1.54895,1.55615
2015-06-15,1.5597,1.56495,1.55448,1.5596
2015-06-16,1.56421,1.5756,1.56299,1.56397
2015-06-17,1.58481,1.59314,1.58103,1.58481
2015-06-18,1.58801,1.5898,1.58373,1.58788
2015-06-21,1.5873,1.59109,1.58078,1.58851
2015-06-22,1.5828,1.583,1.57257,1.58293
2015-06-23,1.57391,1.58053,1.56764,1.57411
2015-06-24,1.57055,1.57701,1.56811,1.57099
2015-06-25,1.5748,1.57654,1.57134,1.57451
2015-06-28,1.56961,1.57891,1.56863,1.56932
2015-06-29,1.57299,1.57754,1.56986,1.57319
2015-06-30,1.569,1.57183,1.56155,1.5687
2015-07-01,1.56052,1.5638,1.55661,1.5605
2015-07-02,1.56101,1.56446,1.55683,1.5613
2015-07-05,1.5555,1.5625,1.55352,1.5556
2015-07-06,1.56011,1.5606,1.54178,1.56021
2015-07-07,1.5461,1.54703,1.53391,1.54629
2015-07-08,1.53688,1.54202,1.536,1.537
2015-07-09,1.53711,1.55521,1.5369,1.5374
2015-07-12,1.5519,1.55909,1.54962,1.55159
2015-07-13,1.54801,1.56226,1.54536,1.54823
2015-07-14,1.5638,1.5674,1.55812,1.5637
2015-07-15,1.5626,1.56509,1.5564,1.5634
2015-07-16,1.5613,1.56723,1.55618,1.5613
2015-07-19,1.56045,1.56299,1.554,1.56004
2015-07-20,1.55712,1.55933,1.55328,1.55739
2015-07-21,1.55562,1.56446,1.55533,1.5556
2015-07-22,1.56147,1.56715,1.55188,1.5614
2015-07-23,1.55219,1.55279,1.54715,1.55195
2015-07-26,1.55241,1.55958,1.54943,1.55229
2015-07-27,1.55649,1.56177,1.55328,1.55642
2015-07-28,1.56109,1.56887,1.55909,1.56111
2015-07-29,1.55999,1.56397,1.558,1.56021
2015-07-30,1.56048,1.56764,1.55545,1.56043
2015-08-02,1.56231,1.5647,1.5569,1.56269
2015-08-03,1.55909,1.56299,1.55666,1.55904
2015-08-04,1.55659,1.56499,1.55294,1.5569
2015-08-05,1.5606,1.5638,1.54727,1.5606
2015-08-06,1.5513,1.554,1.54271,1.55142
2015-08-09,1.54921,1.5549,1.54602,1.5494
2015-08-10,1.5588,1.56152,1.55579,1.55853
2015-08-11,1.5586,1.56617,1.55371,1.55841
2015-08-12,1.5614,1.56372,1.55787,1.5616
2015-08-13,1.56152,1.56593,1.55931,1.56179
2015-08-16,1.56499,1.569,1.55819,1.56519
2015-08-17,1.5586,1.57183,1.55642,1.55851
2015-08-18,1.56659,1.56986,1.56372,1.56649
2015-08-19,1.5685,1.5703,1.56104,1.56831
2015-08-20,1.569,1.5725,1.56642,1.56909
2015-08-23,1.56676,1.58048,1.56331,1.56779
2015-08-24,1.57639,1.58178,1.5686,1.57629
2015-08-25,1.5703,1.57211,1.54823,1.56959
2015-08-26,1.54806,1.55099,1.53775,1.5482
2015-08-27,1.54119,1.54459,1.53398,1.5414
2015-08-30,1.54171,1.54416,1.53586,1.54181
2015-08-31,1.5365,1.54083,1.53046,1.53631
2015-09-01,1.53034,1.5321,1.5269,1.53053
2015-09-02,1.53069,1.53151,1.52228,1.53081
2015-09-03,1.52599,1.52609,1.51708,1.52621
2015-09-06,1.51941,1.52905,1.51745,1.5201
2015-09-07,1.52751,1.54154,1.52751,1.5283
2015-09-08,1.53981,1.54059,1.53516,1.54019
2015-09-09,1.5361,1.5477,1.53445,1.53579
2015-09-10,1.54419,1.54641,1.5405,1.54421
2015-09-13,1.54471,1.54729,1.53799,1.54481
2015-09-14,1.5429,1.54583,1.53516,1.54271
2015-09-15,1.53459,1.55279,1.53327,1.53449
2015-09-16,1.55149,1.55509,1.54895,1.55181
2015-09-17,1.5571,1.56593,1.5562,1.5569
2015-09-20,1.55248,1.5569,1.54837,1.55289
2015-09-21,1.55082,1.55311,1.53445,1.55082
2015-09-22,1.53551,1.53657,1.52253,1.53539
2015-09-23,1.52506,1.52882,1.52031,1.5252
2015-09-24,1.52309,1.52602,1.51469,1.5227
2015-09-27,1.5205,1.52372,1.5163,1.52017
2015-09-28,1.51669,1.52068,1.51378,1.51651
2015-09-29,1.5158,1.52137,1.51103,1.5158
2015-09-30,1.51229,1.51814,1.51126,1.5124
2015-10-01,1.5141,1.52393,1.51382,1.51391
2015-10-04,1.51874,1.52416,1.51653,1.51941
2015-10-05,1.51543,1.52369,1.51423,1.5155
2015-10-06,1.52295,1.5328,1.5227,1.5226
2015-10-07,1.53179,1.53728,1.52648,1.53156
2015-10-08,1.5352,1.5387,1.53022,1.53513
2015-10-11,1.53219,1.53749,1.53179,1.53231
2015-10-12,1.53377,1.53893,1.52045,1.53379
2015-10-13,1.52562,1.54488,1.52558,1.52581
2015-10-14,1.5478,1.55087,1.54202,1.54801
2015-10-15,1.54729,1.54871,1.54345,1.5472
2015-10-18,1.54381,1.54969,1.54297,1.54381
2015-10-19,1.54751,1.55063,1.54583,1.5472
2015-10-20,1.54481,1.54799,1.54178,1.5449
2015-10-21,1.54209,1.55063,1.53917,1.54245
2015-10-22,1.5386,1.54209,1.5329,1.53837
2015-10-25,1.5317,1.53811,1.53139,1.53174
2015-10-26,1.5356,1.53619,1.52858,1.53579
2015-10-27,1.53121,1.5348,1.52802,1.5313
2015-10-28,1.527,1.53116,1.5246,1.52718
2015-10-29,1.53219,1.5444,1.53121,1.53238
2015-11-01,1.54421,1.54991,1.54231,1.54416
2015-11-02,1.54231,1.54464,1.53619,1.5424
2015-11-03,1.542,1.54392,1.53709,1.54192
2015-11-04,1.5391,1.54012,1.5227,1.53901
2015-11-05,1.5211,1.52202,1.50376,1.521
2015-11-08,1.50537,1.51149,1.50516,1.5055
2015-11-09,1.5122,1.51469,1.50943,1.5121
2015-11-10,1.51378,1.52045,1.51318,1.51389
2015-11-11,1.5223,1.52462,1.51764,1.52251
2015-11-12,1.52323,1.52625,1.5192,1.52346
2015-11-15,1.52221,1.5229,1.5186,1.52179
2015-11-16,1.5202,1.52411,1.5158,1.5205
2015-11-17,1.5217,1.52486,1.51906,1.522
2015-11-18,1.52439,1.52999,1.52439,1.52393
2015-11-19,1.52882,1.53116,1.52184,1.52882
2015-11-22,1.51902,1.5193,1.51272,1.519
2015-11-23,1.5127,1.51584,1.50571,1.5129
2015-11-24,1.50809,1.5124,1.5058,1.50859
2015-11-25,1.51261,1.51329,1.50693,1.51236
2015-11-26,1.5103,1.51089,1.50342,1.50998
2015-11-29,1.50378,1.5058,1.4997,1.50389
2015-11-30,1.50578,1.51247,1.50534,1.5058
2015-12-01,1.50791,1.50821,1.49499,1.50779
2015-12-02,1.49499,1.50648,1.49165,1.4949
2015-12-03,1.51378,1.51584,1.50821,1.5135
2015-12-06,1.51126,1.51172,1.5058,1.51126
2015-12-07,1.5055,1.50602,1.49586,1.50503
2015-12-08,1.50139,1.51791,1.50069,1.50101
2015-12-09,1.51839,1.52031,1.5116,1.51839
2015-12-10,1.51621,1.523,1.51286,1.51609
2015-12-13,1.51999,1.52068,1.51126,1.5199
2015-12-14,1.51593,1.51837,1.50399,1.51607
2015-12-15,1.50464,1.50621,1.4993,1.50437
2015-12-16,1.4979,1.49925,1.48832,1.49779
2015-12-17,1.493,1.49521,1.48889,1.49296
2015-12-20,1.49098,1.49321,1.48869,1.49082
2015-12-21,1.4896,1.49098,1.48302,1.48969
2015-12-22,1.48221,1.49031,1.48221,1.48234
2015-12-23,1.4877,1.4941,1.4873,1.4877
2015-12-24,1.49142,1.49477,1.49142,1.49142
2015-12-27,1.49254,1.49321,1.48854,1.49321
2015-12-28,1.48914,1.49142,1.47918,1.4894
2015-12-29,1.48229,1.485,1.47973,1.48223
2015-12-30,1.48177,1.48478,1.47449,1.48192
2015-12-31,1.47384,1.47384,1.47384,1.47384
2016-01-03,1.47399,1.4817,1.46914,1.47371
2016-01-04,1.47145,1.47297,1.46413,1.47141
2016-01-05,1.4677,1.468,1.46049,1.46739
2016-01-06,1.46293,1.46434,1.45349,1.46299
2016-01-07,1.46231,1.46479,1.45286,1.46269
2016-01-10,1.4529,1.46049,1.45159,1.4525
2016-01-11,1.4545,1.45641,1.43596,1.4544
2016-01-12,1.4439,1.44781,1.43901,1.44363
2016-01-13,1.44134,1.44446,1.43637,1.4408
2016-01-14,1.44261,1.44279,1.43082,1.44271
2016-01-17,1.42741,1.43225,1.42509,1.42741
2016-01-18,1.42531,1.43431,1.41323,1.42531
2016-01-19,1.41824,1.42207,1.41311,1.41824
2016-01-20,1.42005,1.4205,1.40885,1.41985
2016-01-21,1.42288,1.43596,1.42064,1.42268
2016-01-24,1.4257,1.43129,1.4226,1.426
2016-01-25,1.4243,1.43308,1.41784,1.4243
2016-01-26,1.43451,1.43554,1.42328,1.43431
2016-01-27,1.4247,1.44051,1.4241,1.42491
2016-01-28,1.436,1.44155,1.41904,1.4362
2016-01-31,1.42448,1.43781,1.42389,1.4246
2016-02-01,1.44259,1.44467,1.43328,1.44279
2016-02-02,1.44086,1.45921,1.43864,1.44092
2016-02-03,1.45864,1.46681,1.45357,1.45858
2016-02-04,1.458,1.4586,1.44592,1.45811
2016-02-07,1.45121,1.45454,1.43575,1.45121
2016-02-08,1.44363,1.44886,1.43802,1.44361
2016-02-09,1.44634,1.45794,1.4455,1.44659
2016-02-10,1.4525,1.45666,1.43885,1.45264
2016-02-11,1.44831,1.45688,1.4453,1.44823
2016-02-14,1.45222,1.45381,1.44279,1.4518
2016-02-15,1.44571,1.45159,1.42857,1.44592
2016-02-16,1.43082,1.4341,1.42389,1.43039
2016-02-17,1.42857,1.43947,1.42653,1.42816
2016-02-18,1.4331,1.4341,1.42531,1.43332
2016-02-21,1.427,1.4301,1.40667,1.4266
2016-02-22,1.41511,1.41571,1.40661,1.41481
2016-02-23,1.40095,1.40174,1.38812,1.40135
2016-02-24,1.39311,1.39978,1.39043,1.39295
2016-02-25,1.39704,1.40424,1.38665,1.39665
2016-02-28,1.3865,1.39431,1.38389,1.38619
2016-02-29,1.39311,1.40172,1.3914,1.3928
2016-03-01,1.39649,1.40726,1.39179,1.39639
2016-03-02,1.40819,1.41543,1.40371,1.40809
2016-03-03,1.41759,1.42369,1.41123,1.41749
2016-03-06,1.4213,1.42201,1.41371,1.4215
2016-03-07,1.42621,1.42741,1.4177,1.42613
2016-03-08,1.42086,1.4243,1.41794,1.42086
2016-03-09,1.42066,1.43021,1.41243,1.4207
2016-03-10,1.42878,1.43937,1.42582,1.42878
2016-03-13,1.43781,1.4392,1.43129,1.438
2016-03-14,1.42831,1.42878,1.41503,1.4282
2016-03-15,1.41583,1.41603,1.40568,1.41563
2016-03-16,1.42531,1.45012,1.42235,1.42552
2016-03-17,1.44781,1.45138,1.4415,1.44781
2016-03-20,1.44634,1.44691,1.43678,1.4468
2016-03-21,1.43678,1.43989,1.41985,1.43701
2016-03-22,1.4226,1.42278,1.41103,1.4225
2016-03-23,1.41163,1.41491,1.40597,1.41169
2016-03-24,1.41421,1.41603,1.41123,1.41301
2016-03-27,1.41331,1.42814,1.41231,1.41311
2016-03-28,1.42613,1.43102,1.42005,1.42633
2016-03-29,1.43881,1.44592,1.43709,1.43864
2016-03-30,1.4374,1.44238,1.43308,1.4374
2016-03-31,1.43664,1.4374,1.41739,1.4367
2016-04-03,1.42268,1.43225,1.41925,1.42246
2016-04-04,1.42653,1.42816,1.41243,1.42649
2016-04-05,1.41583,1.41723,1.40076,1.41563
2016-04-06,1.41363,1.41563,1.40548,1.41381
2016-04-07,1.40548,1.41403,1.4043,1.4058
2016-04-10,1.41341,1.42857,1.41091,1.41301
2016-04-11,1.42341,1.43472,1.41985,1.42341
2016-04-12,1.4269,1.42816,1.41985,1.4269
2016-04-13,1.41931,1.41931,1.40944,1.41921
2016-04-14,1.41451,1.42227,1.41363,1.41461
2016-04-17,1.41844,1.42804,1.41343,1.41743
2016-04-18,1.42878,1.44196,1.42857,1.42898
2016-04-19,1.43881,1.44101,1.43534,1.43895
2016-04-20,1.43379,1.44383,1.43061,1.4339
2016-04-21,1.43267,1.44509,1.4324,1.4323
2016-04-24,1.44488,1.4518,1.44059,1.44467
2016-04-25,1.44886,1.46381,1.44877,1.44907
2016-04-26,1.45773,1.46199,1.45328,1.45773
2016-04-27,1.45412,1.46178,1.45277,1.45421
2016-04-28,1.46135,1.46671,1.45794,1.46113
2016-05-01,1.46049,1.46994,1.46049,1.46028
2016-05-02,1.46671,1.47689,1.45349,1.4666
2016-05-03,1.45454,1.4573,1.44634,1.4551
2016-05-04,1.45075,1.45307,1.44467,1.4507
2016-05-05,1.44907,1.45476,1.44279,1.44928
2016-05-08,1.44279,1.44768,1.43769,1.44308
2016-05-09,1.44161,1.44739,1.43906,1.44155
2016-05-10,1.4453,1.44865,1.4397,1.44515
2016-05-11,1.44363,1.45307,1.44092,1.44383
2016-05-12,1.44461,1.445,1.43429,1.44452
2016-05-15,1.43534,1.44155,1.43361,1.43493
2016-05-16,1.44481,1.45239,1.44392,1.44469
