,open,high,low,close
2025-03-24,0.00668,0.00669,0.00664,0.00664
2025-03-23,0.0067,0.0067,0.00668,0.00668
2025-03-20,0.00673,0.00673,0.00668,0.00673
2025-03-19,0.00673,0.00675,0.00671,0.00673
2025-03-18,0.00669,0.0067,0.00666,0.00669
2025-03-17,0.00669,0.0067,0.00667,0.00669
2025-03-16,0.00673,0.00674,0.00671,0.00673
2025-03-13,0.00676,0.00676,0.00671,0.00676
2025-03-12,0.00674,0.00678,0.00674,0.00674
2025-03-11,0.00675,0.00676,0.0067,0.00675
2025-03-10,0.0068,0.00682,0.00675,0.0068
2025-03-09,0.00677,0.00682,0.00677,0.00677
2025-03-06,0.00675,0.0068,0.00675,0.00675
2025-03-05,0.00672,0.00679,0.0067,0.00672
2025-03-04,0.00668,0.00674,0.00666,0.00668
2025-03-03,0.0067,0.00675,0.00669,0.0067
2025-03-02,0.00663,0.00667,0.00661,0.00663
2025-02-27,0.00667,0.00671,0.00662,0.00667
2025-02-26,0.00672,0.00672,0.00666,0.00672
2025-02-25,0.00671,0.00673,0.00667,0.00671
2025-02-24,0.00667,0.00673,0.00665,0.00667
2025-02-23,0.00669,0.00672,0.00667,0.00669
2025-02-20,0.00669,0.00669,0.00663,0.00669
2025-02-19,0.00661,0.00669,0.00661,0.00661
2025-02-18,0.00658,0.00661,0.00657,0.00658
2025-02-17,0.0066,0.0066,0.00657,0.0066
2025-02-16,0.00658,0.00661,0.00658,0.00658
2025-02-13,0.00654,0.00658,0.00653,0.00654
2025-02-12,0.00648,0.00654,0.00647,0.00648
2025-02-11,0.00655,0.00655,0.00646,0.00655
2025-02-10,0.00659,0.00659,0.00655,0.00659
2025-02-09,0.00659,0.0066,0.00656,0.00659
2025-02-06,0.00661,0.00662,0.00657,0.00661
2025-02-05,0.00655,0.00659,0.00654,0.00655
2025-02-04,0.00649,0.00657,0.00648,0.00649
2025-02-03,0.00644,0.00647,0.00643,0.00644
2025-02-02,0.00644,0.00649,0.00642,0.00644
2025-01-30,0.00649,0.0065,0.00645,0.00649
2025-01-29,0.00645,0.0065,0.00644,0.00645
2025-01-28,0.00643,0.00645,0.00642,0.00643
2025-01-27,0.00645,0.00646,0.00641,0.00645
2025-01-26,0.00642,0.00651,0.0064,0.00642
2025-01-23,0.0064,0.00646,0.00639,0.0064
2025-01-22,0.00639,0.00641,0.00638,0.00639
2025-01-21,0.00642,0.00644,0.00638,0.00642
2025-01-20,0.00644,0.00646,0.0064,0.00644
2025-01-19,0.0064,0.00643,0.00639,0.0064
2025-01-16,0.00644,0.00645,0.00639,0.00644
2025-01-15,0.0064,0.00645,0.00639,0.0064
2025-01-14,0.00633,0.00641,0.00633,0.00633
2025-01-13,0.00636,0.00636,0.00632,0.00636
2025-01-12,0.00633,0.00637,0.00633,0.00633
2025-01-09,0.00633,0.00636,0.0063,0.00633
2025-01-08,0.00632,0.00635,0.00632,0.00632
2025-01-07,0.00632,0.00633,0.00631,0.00632
